timestep,reward,baseline_cost,agent_cost,residential_building_battery_P,residential_building_electrical_load_P,residential_building_battery_SOC
2015-08-06 10:15:00,7.987647589283826,-7.978817529745241,0.008830059538585231,1.25,1.2428064688076699,-0.010416666666666666
2015-08-06 10:30:00,8.024999999999999,-8.184258599066027,-0.1592585990660275,1.25,1.27480663536854,-0.020833333333333332
2015-08-06 10:45:00,8.024999999999999,-8.263867013427785,-0.2388670134277854,1.25,1.28720669991087,-0.03125
2015-08-06 11:00:00,7.8625,-8.008469684084682,-0.14596968408468233,1.25,1.27320662704049,-0.041666666666666664
2015-08-06 11:15:00,7.800223459553731,-7.787060531650066,0.013162927903665004,1.25,1.2380064438235399,-0.052083333333333336
2015-08-06 11:30:00,7.557213194685291,-7.492686999435818,0.06452619524947373,1.25,1.19120620022827,-0.0625
2015-08-06 11:45:00,7.303817875762669,-7.185733401742357,0.11808447402031225,1.25,1.14240594622295,-0.07291666666666667
2015-08-06 12:00:00,6.758692664948466,-6.62953850674795,0.12915415820051523,1.25,1.0976057130377401,-0.08333333333333333
2015-08-06 12:15:00,6.561376637918542,-6.400017312090129,0.1613593258284132,1.25,1.05960551524671,-0.09375
2015-08-06 12:30:00,6.388984740618714,-6.199488268336453,0.18949647228226096,1.25,1.02640534243981,-0.10416666666666667
2015-08-06 12:45:00,6.237362951427306,-6.02311935033624,0.21424360109106563,1.25,0.9972051904530199,-0.11458333333333333
2015-08-06 13:00:00,-6.868750000000001,-5.334573766456448,-12.20332376645645,-1.25,0.9708050530403,-0.10416666666666667
2015-08-06 13:15:00,-6.8687499999999995,-5.213683137220756,-12.082433137220756,-1.25,0.9488049385297099,-0.09375
2015-08-06 13:30:00,-6.868750000000001,-5.116970633832159,-11.98572063383216,-1.25,0.9312048469212301,-0.08333333333333333
2015-08-06 13:45:00,-6.868750000000001,-5.042238244850066,-11.910988244850067,-1.25,0.91760477613286,-0.07291666666666667
2015-08-06 14:00:00,-6.865624999999999,-4.991609981329945,-11.857234981329944,-1.25,0.90880473032862,-0.0625
2015-08-06 14:15:00,-6.8656250000000005,-4.976230901281865,-11.841855901281866,-1.25,0.90600471575455,-0.052083333333333336
2015-08-06 14:30:00,-6.865624999999999,-4.991609981329945,-11.857234981329944,-1.25,0.90880473032862,-0.041666666666666664
2015-08-06 14:45:00,-6.8656250000000005,-5.0399442329097335,-11.905569232909734,-1.25,0.91760477613286,-0.03125
2015-08-06 15:00:00,-6.7749999999999995,-5.055802315451044,-11.830802315451043,-1.25,0.93280485524927,-0.020833333333333332
2015-08-06 15:15:00,-6.7749999999999995,-5.172874924814001,-11.947874924814,-1.25,0.95440496767786,-0.010416666666666666
2015-08-06 15:30:00,-6.774999999999999,-5.326803726013415,-12.101803726013413,-1.25,0.98280511550063,0.0
2015-08-06 15:45:00,-6.7749999999999995,-5.5110846851958,-12.2860846851958,-1.25,1.0168052924715498,0.010416666666666666
2015-08-06 16:00:00,-6.8687499999999995,-5.804948214755458,-12.673698214755458,-1.25,1.0564054985906202,0.020833333333333332
2015-08-06 16:15:00,-6.8687499999999995,-6.053323507548831,-12.92207350754883,-1.25,1.10160573385784,0.03125
2015-08-06 16:30:00,-6.868750000000001,-6.323678914748764,-13.192428914748765,-1.25,1.15080598994518,0.041666666666666664
2015-08-06 16:45:00,-6.86875,-6.602826367711222,-13.471576367711222,-1.25,1.20160625436055,0.052083333333333336
2015-08-06 17:00:00,7.590624999999999,-7.605238585266834,-0.014613585266834317,1.25,1.25240651877593,0.041666666666666664
2015-08-06 17:15:00,7.590624999999999,-7.889433064499113,-0.2988080644991135,1.25,1.2992067623712003,0.03125
2015-08-06 17:30:00,7.590625,-8.105615189727047,-0.5149901897270469,1.25,1.33480694767016,0.020833333333333332
2015-08-06 17:45:00,7.590624999999999,-8.217349771305553,-0.6267247713055539,1.25,1.3532070434426602,0.010416666666666666
2015-08-06 18:00:00,9.856249999999998,-10.657421471878777,-0.8011714718787795,1.25,1.35160703511462,0.0
2015-08-06 18:15:00,9.85625,-10.524952782379211,-0.6687027823792121,1.25,1.33480694767016,-0.010416666666666666
2015-08-06 18:30:00,9.856250000000001,-10.338865813796536,-0.48261581379653573,1.25,1.31120682483152,-0.020833333333333332
2015-08-06 18:45:00,9.85625,-10.14962482879721,-0.29337482879720994,1.25,1.28720669991087,-0.03125
2015-08-06 19:00:00,10.1875,-10.35055387463294,-0.16305387463294044,1.25,1.2700066103844099,-0.041666666666666664
2015-08-06 19:15:00,10.187499999999998,-10.239713297707723,-0.05221329770772586,1.25,1.25640653959604,-0.052083333333333336
2015-08-06 19:30:00,10.146997006275654,-10.135392754719271,0.011604251556382604,1.25,1.24360647297169,-0.0625
2015-08-06 19:45:00,10.048170491883663,-10.00825209295215,0.03991839893151458,1.25,1.2280063917732702,-0.07291666666666667
2015-08-06 20:00:00,10.032447726890412,-9.945675767242362,0.08677195964805108,1.25,1.20480627101664,-0.08333333333333333
2015-08-06 20:15:00,9.832260684916834,-9.684816409469372,0.14744427544746258,1.25,1.17320610653778,-0.09375
2015-08-06 20:30:00,8.269632551437404,-8.040011848261633,0.22962070317576988,1.25,1.1304058837626199,-0.10416666666666667
2015-08-06 20:45:00,7.989236091973848,-7.655934849140875,0.3333012428329729,1.25,1.07640560269116,-0.11458333333333333
2015-08-06 21:00:00,7.65072126494168,-7.185215399046147,0.46550586589553333,1.25,1.0088052508313299,-0.125
2015-08-06 21:15:00,7.251935189260161,-6.6382045518546935,0.6137306374054673,1.25,0.9320048510852501,-0.13541666666666666
2015-08-06 21:30:00,6.824070962226871,-6.05130749705554,0.7727634651713312,1.25,0.8496044221910201,-0.14583333333333334
2015-08-06 21:45:00,6.3878986919501815,-5.45301438293985,0.9348843090103317,1.25,0.76560398496874,-0.15625
2015-08-06 22:00:00,5.946031254108299,-4.979701919348486,0.9663293347598134,1.25,0.7124037080612999,-0.16666666666666666
2015-08-06 22:15:00,5.744561205456703,-4.708488507682688,1.0360726977740156,1.25,0.6736035061062501,-0.17708333333333334
2015-08-06 22:30:00,5.570092297346038,-4.473623285209206,1.0964690121368315,1.25,0.64000333121734,-0.1875
2015-08-06 22:45:00,5.401854421667884,-4.247146106395475,1.1547083152724082,1.25,0.60760316257446,-0.19791666666666666
2015-08-06 23:00:00,4.686836383827123,-3.74393248716859,0.9429038966585332,1.25,0.56920296270142,-0.20833333333333334
2015-08-06 23:15:00,4.477058291932178,-3.4782001040315653,0.998858187900613,1.25,0.52880275241833,-0.21875
2015-08-06 23:30:00,4.271434221658855,-3.2177297482833165,1.0537044733755387,1.25,0.48920254629925,-0.22916666666666666
2015-08-06 23:45:00,3.6384799271317543,-2.538793214418659,1.0996867127130954,1.25,0.45600237349235,-0.23958333333333334
2015-08-07 00:00:00,3.510195422067191,-2.3988064857877838,1.1113889362794072,1.25,0.43280225273573003,-0.25
2015-08-07 00:15:00,3.446621091162764,-2.314560047285026,1.1320610438777383,1.25,0.41760217361931,-0.2604166666666667
2015-08-07 00:30:00,3.4064688821705165,-2.2613517703359443,1.1451171118345722,1.25,0.40800212365104993,-0.2708333333333333
2015-08-07 00:45:00,3.3880657863824,-2.2369646434009445,1.1511011429814555,1.25,0.40360210074892994,-0.28125
2015-08-07 01:00:00,-6.715625,-2.146862174417639,-8.86248717441764,-1.25,0.39960207992882996,-0.2708333333333333
2015-08-07 01:15:00,-6.715624999999999,-2.133968107303993,-8.849593107303992,-1.25,0.39720206743676006,-0.2604166666666667
2015-08-07 01:30:00,-6.715624999999999,-2.1296700849327954,-8.845295084932795,-1.25,0.39640206327273997,-0.25
2015-08-07 01:45:00,-6.715624999999999,-2.1296700849327954,-8.845295084932795,-1.25,0.39640206327273997,-0.23958333333333334
2015-08-07 02:00:00,-6.190624999999999,-1.971105259602863,-8.161730259602862,-1.25,0.39800207160078005,-0.22916666666666666
2015-08-07 02:15:00,-6.190624999999999,-1.9829913214698396,-8.173616321469838,-1.25,0.40040208409285,-0.21875
2015-08-07 02:30:00,-6.190625,-1.9948773833367668,-8.185502383336766,-1.25,0.40280209658491,-0.20833333333333334
2015-08-07 02:45:00,-6.190625,-1.9988394039590753,-8.189464403959075,-1.25,0.40360210074892994,-0.19791666666666666
2015-08-07 03:00:00,-5.4468749999999995,-1.7586961540134622,-7.2055711540134615,-1.25,0.40360210074892994,-0.1875
2015-08-07 03:15:00,-5.4468749999999995,-1.760439163085865,-7.207314163085864,-1.25,0.40400210283095,-0.17708333333333334
2015-08-07 03:30:00,-5.446875,-1.7848412900989283,-7.2317162900989285,-1.25,0.40960213197910006,-0.16666666666666666
2015-08-07 03:45:00,-5.4468749999999995,-1.8441035985592504,-7.29097859855925,-1.25,0.42320220276747,-0.15625
2015-08-07 04:00:00,-5.340624999999999,-1.9072539272566744,-7.247878927256674,-1.25,0.44640232352409,-0.14583333333333334
2015-08-07 04:15:00,-5.340624999999999,-2.0491016655741547,-7.3897266655741545,-1.25,0.47960249633098995,-0.13541666666666666
2015-08-07 04:30:00,-5.340624999999999,-2.2319656173810256,-7.572590617381025,-1.25,0.52240271910615,-0.125
2015-08-07 04:45:00,-5.340625,-2.4558457826772875,-7.796470782677288,-1.25,0.57480299184957,-0.11458333333333333
2015-08-07 05:00:00,-5.228125,-2.656737828320401,-7.884862828320402,-1.25,0.63520330623321,-0.10416666666666667
2015-08-07 05:15:00,-5.2281249999999995,-2.9394762999741397,-8.16760129997414,-1.25,0.70280365809304,-0.09375
2015-08-07 05:30:00,-5.228125000000001,-3.235598841291975,-8.463723841291976,-1.25,0.77360402660896,-0.08333333333333333
2015-08-07 05:45:00,-5.228125,-3.536740408733831,-8.764865408733831,-1.25,0.84560440137091,-0.07291666666666667
2015-08-07 06:00:00,6.8386148108807125,-6.2883327307718595,0.550282080108853,1.25,0.9180047782148699,-0.08333333333333333
2015-08-07 06:15:00,7.2020917027779525,-6.767835226582374,0.4342564761955788,1.25,0.98800514256677,-0.09375
2015-08-07 06:30:00,7.546875497377609,-7.222677594036904,0.3241979033407052,1.25,1.05440548818057,-0.10416666666666667
2015-08-07 06:45:00,7.872966194679681,-7.652859833135449,0.2201063615442324,1.25,1.11720581505627,-0.11458333333333333
2015-08-07 07:00:00,8.387699719008312,-8.247516928325645,0.14018279068266706,1.25,1.1736061086198,-0.125
2015-08-07 07:15:00,8.643172048741771,-8.593271727979355,0.049900320762416656,1.25,1.22280636470713,-0.13541666666666666
2015-08-07 07:30:00,8.784375,-8.868751161849795,-0.08437616184979471,1.25,1.26200656874419,-0.14583333333333334
2015-08-07 07:45:00,8.784374999999997,-9.057089142149007,-0.27271414214900924,1.25,1.2888067082389199,-0.15625
2015-08-07 08:00:00,8.524999999999999,-8.887870261364732,-0.36287026136473344,1.25,1.30320678319131,-0.16666666666666666
2015-08-07 08:15:00,8.524999999999999,-8.9206064317565,-0.3956064317565016,1.25,1.3080068081754401,-0.17708333333333334
2015-08-07 08:30:00,8.524999999999999,-8.936974516952349,-0.4119745169523494,1.25,1.3104068206675,-0.1875
2015-08-07 08:45:00,8.524999999999999,-8.969710687344117,-0.4447106873441176,1.25,1.3152068456516302,-0.19791666666666666
2015-08-07 09:00:00,7.89375,-8.378785611579135,-0.48503561157913494,1.25,1.32680690602995,-0.20833333333333334
2015-08-07 09:15:00,7.893750000000001,-8.49498221638241,-0.6012322163824088,1.25,1.34520700180244,-0.21875
2015-08-07 09:30:00,7.89375,-8.646543005256314,-0.7527930052563139,1.25,1.36920712672309,-0.22916666666666666
2015-08-07 09:45:00,7.89375,-8.80568183357396,-0.9119318335739603,1.25,1.39440725788978,-0.23958333333333334
2015-08-07 10:00:00,-6.628125,-7.5380732356711695,-14.16619823567117,-1.25,1.42160739946651,-0.22916666666666666
